Date,Open,High,Low,Close,Adj Close,Volume
2015-09-25,24.85,25.610001,24.52,25.440001000000002,25.440001000000002,628600
2015-09-28,25.209999,25.5,22.129998999999998,23.4,23.4,988600
2015-09-29,23.4,23.790001,22.6,23.469998999999998,23.469998999999998,333100
2015-09-30,23.52,24.139999,22.1,22.25,22.25,411800
2015-10-01,22.27,22.690001000000002,22.110001,22.59,22.59,197300
2015-10-02,22.42,24.48,22.42,24.43,24.43,294300
2015-10-05,24.709999,28.719998999999998,24.709999,27.73,27.73,578800
2015-10-06,27.860001,28.459999,26.4,27.0,27.0,373000
2015-10-07,27.34,27.34,26.52,26.860001,26.860001,299200
2015-10-08,26.559998999999998,26.93,26.290001,26.76,26.76,108100
2015-10-09,26.74,27.110001,25.719998999999998,26.219998999999998,26.219998999999998,192900
2015-10-12,26.290001,27.0,26.139999,26.76,26.76,253000
2015-10-13,26.58,27.16,25.389999,26.9,26.9,286300
2015-10-14,27.4,27.4,25.809998999999998,26.66,26.66,163900
2015-10-15,26.629998999999998,27.08,25.99,26.77,26.77,186400
2015-10-16,26.82,28.35,25.209999,27.18,27.18,761900
2015-10-19,27.02,28.719998999999998,26.84,28.469998999999998,28.469998999999998,387300
2015-10-20,28.42,28.59,27.309998999999998,28.030001000000002,28.030001000000002,193500
2015-10-21,27.99,28.040001,25.68,26.49,26.49,204100
2015-10-22,26.709999,26.709999,24.83,25.66,25.66,410300
2015-10-23,26.08,27.099001,25.76,26.01,26.01,122100
2015-10-26,26.01,26.610001,25.049999,26.16,26.16,175900
2015-10-27,26.02,27.24,25.52,25.719998999999998,25.719998999999998,263600
2015-10-28,28.4,28.4,22.66,23.76,23.76,659400
2015-10-29,23.530001000000002,25.0,23.5,23.51,23.51,269000
2015-10-30,23.469998999999998,23.628,22.68,23.200001,23.200001,257900
2015-11-02,23.18,23.200001,22.101999,22.33,22.33,303100
2015-11-03,22.209999,22.540001,21.48,21.790001,21.790001,392300
2015-11-04,21.77,24.639999,21.77,24.059998999999998,24.059998999999998,272200
2015-11-05,24.1,24.41,23.459999,24.25,24.25,93700
2015-11-06,24.139999,24.66,23.91,24.5,24.5,103900
2015-11-09,24.5,24.84,23.440001000000002,23.51,23.51,157600
2015-11-10,23.389999,23.860001,23.32,23.57,23.57,109500
2015-11-11,23.68,23.924,22.0,22.559998999999998,22.559998999999998,252100
2015-11-12,22.290001,22.65,22.15,22.5,22.5,174000
2015-11-13,22.16,23.120001000000002,22.040001,22.68,22.68,74900
2015-11-16,22.65,23.190001000000002,22.15,22.58,22.58,173000
2015-11-17,22.6,23.9,22.42,22.52,22.52,109100
2015-11-18,22.5,23.75,22.43,22.52,22.52,257100
2015-11-19,22.530001000000002,22.785,22.049999,22.4,22.4,185700
2015-11-20,22.620001000000002,23.469998999999998,22.530001000000002,23.26,23.26,99600
2015-11-23,23.129998999999998,24.5,23.129998999999998,23.700001,23.700001,158000
