Date,Open,High,Low,Close,Adj Close,Volume
2015-08-03,7.97,8.0,7.81,7.88,7.88,7600
2015-08-04,7.98,8.0,7.94,8.0,8.0,36100
2015-08-05,7.96,8.0,7.91,7.91,7.91,23200
2015-08-06,7.92,7.99,7.92,7.99,7.99,800
2015-08-07,7.904,7.904,7.72,7.84,7.84,12700
2015-08-10,7.81,7.81,7.57,7.69,7.69,14900
2015-08-11,7.68,7.74,7.5,7.66,7.66,5500
2015-08-12,7.65,7.86,7.65,7.79,7.79,6100
2015-08-13,7.781000000000001,7.94,7.492999999999999,7.79,7.79,10400
2015-08-14,7.56,7.69,7.41,7.63,7.63,3400
2015-08-17,7.55,7.72,7.55,7.7,7.7,20100
2015-08-18,7.74,7.74,7.37,7.4,7.4,17500
2015-08-19,7.43,7.55,7.4,7.49,7.49,4600
2015-08-20,7.422999999999999,7.54,7.4,7.54,7.54,8000
2015-08-21,7.3,7.3,7.07,7.2,7.2,21100
2015-08-24,6.98,7.2,6.85,6.97,6.97,22600
2015-08-25,7.05,7.24,6.98,7.2,7.2,6200
2015-08-26,7.05,7.24,7.05,7.24,7.24,7500
2015-08-27,7.03,7.71,7.01,7.495,7.495,12500
2015-08-28,7.49,7.74,7.38,7.49,7.49,23800
2015-08-31,7.26,7.74,7.26,7.64,7.64,18900
2015-09-01,7.34,7.61,7.34,7.54,7.54,7000
2015-09-02,7.63,7.63,7.27,7.27,7.27,600
2015-09-03,7.31,7.7,7.31,7.66,7.66,9700
2015-09-04,7.54,7.57,7.44,7.5,7.5,10300
2015-09-08,7.43,7.54,7.43,7.48,7.48,5600
2015-09-09,7.54,7.54,7.46,7.46,7.46,4200
2015-09-10,7.104,7.43,7.104,7.36,7.36,7600
2015-09-11,7.26,7.49,7.21,7.42,7.42,5700
2015-09-14,7.28,7.53,7.28,7.475,7.475,5400
2015-09-15,7.18,7.44,7.18,7.35,7.35,4000
2015-09-16,7.05,7.388,7.05,7.36,7.36,3700
2015-09-17,7.22,7.38,7.16,7.16,7.16,5100
2015-09-18,7.24,7.38,7.24,7.37,7.37,7700
2015-09-21,7.35,7.45,7.25,7.42,7.42,5100
2015-09-22,7.3,7.31,7.3,7.31,7.31,600
2015-09-23,7.18,7.26,7.15,7.26,7.26,3600
2015-09-24,7.06,7.27,7.06,7.27,7.27,9100
2015-09-25,7.24,7.37,7.24,7.291,7.291,3700
2015-09-28,7.3,7.33,7.28,7.29,7.29,2200
2015-09-29,7.25,7.25,7.15,7.21,7.21,3100
2015-09-30,7.37,7.37,7.25,7.3,7.3,6900
2015-10-01,7.26,7.38,7.26,7.38,7.38,15600
2015-10-02,7.319,7.32,7.26,7.26,7.26,4100
2015-10-05,7.24,7.29,7.1,7.22,7.22,3200
2015-10-06,7.25,7.25,7.19,7.19,7.19,400
2015-10-07,7.2,7.2,7.069,7.07,7.07,900
2015-10-08,7.23,7.24,7.21,7.23,7.23,2300
2015-10-09,7.23,7.23,7.062,7.2,7.2,4000
2015-10-12,7.15,7.22,7.1,7.16,7.16,7400
